Wavenumbers	Absorbance	
2317.500	0.06609515	
2317.000	0.06575763	
2316.500	0.06565424	
2316.000	0.06565236	
2315.500	0.06574749	
2315.000	0.06606911	
2314.500	0.06663028	
2314.000	0.06729514	
2313.500	0.06802525	
2313.000	0.0689358	
2312.500	0.07005875	
2312.000	0.07126535	
2311.500	0.07250434	
2311.000	0.07389672	
2310.500	0.07549654	
2310.000	0.07716319	
2309.500	0.07879225	
2309.000	0.08048334	
2308.500	0.08232565	
2308.000	0.08420822	
2307.500	0.08600554	
2307.000	0.08778905	
2306.500	0.08967127	
2306.000	0.09158514	
2305.500	0.09342057	
2305.000	0.09524457	
2304.500	0.09717792	
2304.000	0.09915163	
2303.500	0.1009983	
2303.000	0.102705	
2302.500	0.1043565	
2302.000	0.1058982	
2301.500	0.1071743	
2301.000	0.1081646	
2300.500	0.1089759	
2300.000	0.1096243	
2299.500	0.1100315	
2299.000	0.1102211	
2298.500	0.1103343	
2298.000	0.1104512	
2297.500	0.1105647	
2297.000	0.1107285	
2296.500	0.1110711	
2296.000	0.1116521	
2295.500	0.1124287	
2295.000	0.1134283	
2294.500	0.1145939	
2294.000	0.1161382	
2293.500	0.1175249	
2293.000	0.1195105	
2292.500	0.1205488	
2292.000	0.1248163	
2291.500	0.1291026	
2291.000	0.1301221	
2290.500	0.1319907	
2290.000	0.1340078	
2289.500	0.1371718	
2289.000	0.1403953	
2288.500	0.1437116	
2288.000	0.1475025	
2287.500	0.1521693	
2287.000	0.1574429	
2286.500	0.162885	
2286.000	0.1684167	
2285.500	0.1741799	
2285.000	0.1800953	
2284.500	0.1857786	
2284.000	0.1908655	
2283.500	0.1952803	
2283.000	0.1990989	
2282.500	0.2022562	
2282.000	0.2045072	
2281.500	0.205767	
2281.000	0.206261	
2280.500	0.2062956	
2280.000	0.2060109	
2279.500	0.2053915	
2279.000	0.2045072	
2278.500	0.2035644	
2278.000	0.2026862	
2277.500	0.2017978	
2277.000	0.2008825	
2276.500	0.2001336	
2276.000	0.1996936	
2275.500	0.1995508	
2275.000	0.1997397	
2274.500	0.2003866	
2274.000	0.2015463	
2273.500	0.2032207	
2273.000	0.2054828	
2272.500	0.2083266	
2272.000	0.2115736	
2271.500	0.215022	
2271.000	0.2185149	
2270.500	0.2218404	
2270.000	0.2246996	
2269.500	0.2267936	
2269.000	0.227841	
2268.500	0.2276088	
2268.000	0.2259444	
2267.500	0.2227914	
2267.000	0.2182112	
2266.500	0.2124099	
2266.000	0.2056651	
2265.500	0.1982632	
2265.000	0.1905015	
2264.500	0.182653	
2264.000	0.1749335	
2263.500	0.1674847	
2263.000	0.1604122	
2262.500	0.1537583	
2262.000	0.147564	
