Wavenumbers	Absorbance	
3593.000	0.01312638	
3592.500	0.01301122	
3592.000	0.01281606	
3591.500	0.01256706	
3591.000	0.01247727	
3590.500	0.0124205	
3590.000	0.01227377	
3589.500	0.01225947	
3589.000	0.01243425	
3588.500	0.01232152	
3588.000	0.01175785	
3587.500	0.01114721	
3587.000	0.01059388	
3586.500	0.009900707	
3586.000	0.009033353	
3585.500	0.008283264	
3585.000	0.007679896	
3584.500	0.006947348	
3584.000	0.00613036	
3583.500	0.005592731	
3583.000	0.005356587	
3582.500	0.005074648	
3582.000	0.004693589	
3581.500	0.004436509	
3581.000	0.004392742	
3580.500	0.004395481	
3580.000	0.004346727	
3579.500	0.004367776	
3579.000	0.004398762	
3578.500	0.004255603	
3578.000	0.004040633	
3577.500	0.003918599	
3577.000	0.003888611	
3576.500	0.003934246	
3576.000	0.003926552	
3575.500	0.003839494	
3575.000	0.003792251	
3574.500	0.003893353	
3574.000	0.004098956	
3573.500	0.00430267	
3573.000	0.004516334	
3572.500	0.004835166	
3572.000	0.005308791	
3571.500	0.005872979	
3571.000	0.006496081	
3570.500	0.007123713	
3570.000	0.007716976	
3569.500	0.008351667	
3569.000	0.008957798	
3568.500	0.009414031	
3568.000	0.009686096	
3567.500	0.00985485	
3567.000	0.009948288	
3566.500	0.009907323	
3566.000	0.009704402	
3565.500	0.009424513	
3565.000	0.009149731	
3564.500	0.008848288	
3564.000	0.008452499	
3563.500	0.008010858	
3563.000	0.007659717	
3562.500	0.007446553	
3562.000	0.007302052	
3561.500	0.007171762	
3561.000	0.007094046	
3560.500	0.00710772	
3560.000	0.007178936	
3559.500	0.007249857	
3559.000	0.007301074	
3558.500	0.00734611	
3558.000	0.007394127	
3557.500	0.007457027	
3557.000	0.007553251	
3556.500	0.007680358	
3556.000	0.007817815	
3555.500	0.007952756	
3555.000	0.008084696	
3554.500	0.008221834	
3554.000	0.008381358	
3553.500	0.008570641	
3553.000	0.00876118	
3552.500	0.008910101	
3552.000	0.009014445	
3551.500	0.009119055	
3551.000	0.00926055	
3550.500	0.009425594	
3550.000	0.009583911	
3549.500	0.009733884	
3549.000	0.009887459	
3548.500	0.01003205	
3548.000	0.01013962	
3547.500	0.01020506	
3547.000	0.01024352	
3546.500	0.0102657	
3546.000	0.01027837	
3545.500	0.01027931	
3545.000	0.01025502	
3544.500	0.010196	
3544.000	0.0101141	
3543.500	0.0100257	
3543.000	0.009933833	
3542.500	0.009844162	
3542.000	0.009780728	
3541.500	0.009772853	
3541.000	0.009821668	
3540.500	0.009909247	
3540.000	0.01002992	
3539.500	0.01019374	
3539.000	0.01039593	
3538.500	0.01060694	
3538.000	0.01080346	
3537.500	0.01098762	
3537.000	0.01116188	
3536.500	0.01131615	
3536.000	0.0114517	
3535.500	0.01158546	
3535.000	0.01172278	
3534.500	0.0118456	
3534.000	0.01193832	
3533.500	0.01199791	
3533.000	0.01201738	
3532.500	0.01196365	
3532.000	0.01181205	
3531.500	0.01156735	
3531.000	0.01126559	
3530.500	0.0109323	
3530.000	0.01057381	
3529.500	0.01018755	
3529.000	0.009771138	
3528.500	0.009312192	
3528.000	0.008797503	
3527.500	0.008233975	
3527.000	0.00765064	
3526.500	0.007084272	
3526.000	0.006565058	
3525.500	0.006098853	
3525.000	0.005660577	
3524.500	0.005214303	
3524.000	0.00473695	
3523.500	0.00422255	
3523.000	0.00367436	
3522.500	0.003101564	
3522.000	0.002525516	
3521.500	0.00197327	
3521.000	0.001458551	
3520.500	0.0009784454	
3520.000	0.0005254322	
3519.500	0.0001005207	
3519.000	-0.000295887	
3518.500	-0.0006655647	
3518.000	-0.001004073	
3517.500	-0.001302471	
3517.000	-0.001560405	
3516.500	-0.001783531	
3516.000	-0.001976274	
3515.500	-0.002147147	
3515.000	-0.002319619	
3514.500	-0.002512042	
3514.000	-0.002716229	
3513.500	-0.002901856	
3513.000	-0.003046265	
3512.500	-0.003150857	
3512.000	-0.003233048	
3511.500	-0.003312153	
3511.000	-0.00340178	
3510.500	-0.003504784	
3510.000	-0.003610647	
3509.500	-0.003702986	
3509.000	-0.003776612	
3508.500	-0.003840265	
3508.000	-0.003906508	
3507.500	-0.003979239	
3507.000	-0.004051835	
3506.500	-0.004116562	
3506.000	-0.004175288	
3505.500	-0.00423947	
3505.000	-0.004318244	
3504.500	-0.004406526	
3504.000	-0.004487423	
3503.500	-0.004548571	
3503.000	-0.004595396	
3502.500	-0.004643711	
3502.000	-0.004702925	
3501.500	-0.004770941	
3501.000	-0.004840554	
3500.500	-0.004904773	
3500.000	-0.004959609	
3499.500	-0.005007924	
3499.000	-0.005058166	
3498.500	-0.005115284	
3498.000	-0.005177155	
3497.500	-0.005240766	
3497.000	-0.005309713	
3496.500	-0.005392306	
3496.000	-0.005489601	
3495.500	-0.00558639	
3495.000	-0.005662872	
3494.500	-0.005712944	
3494.000	-0.005744716	
3493.500	-0.005770341	
3493.000	-0.005793657	
3492.500	-0.005811748	
3492.000	-0.005821817	
3491.500	-0.005827638	
3491.000	-0.005837282	
3490.500	-0.005857433	
3490.000	-0.005888884	
3489.500	-0.005924641	
3489.000	-0.00595328	
3488.500	-0.005967286	
3488.000	-0.005969564	
3487.500	-0.005968539	
3487.000	-0.005964467	
3486.500	-0.005950613	
3486.000	-0.005919446	
3485.500	-0.005869695	
3485.000	-0.005806632	
3484.500	-0.005742315	
3484.000	-0.005690786	
3483.500	-0.005659389	
3483.000	-0.005645236	
3482.500	-0.005641636	
3482.000	-0.005648129	
3481.500	-0.005667782	
3481.000	-0.005700962	
3480.500	-0.005745811	
3480.000	-0.005798903	
3479.500	-0.005850375	
3479.000	-0.005887096	
3478.500	-0.0059049	
3478.000	-0.005911914	
3477.500	-0.005916055	
3477.000	-0.005913188	
3476.500	-0.005896681	
3476.000	-0.005868572	
3475.500	-0.005837235	
3475.000	-0.005808528	
3474.500	-0.005784056	
3474.000	-0.005764296	
3473.500	-0.00574992	
3473.000	-0.005739175	
3472.500	-0.005727096	
3472.000	-0.005705868	
3471.500	-0.00566761	
3471.000	-0.005609336	
3470.500	-0.005538887	
3470.000	-0.005467788	
3469.500	-0.005400813	
3469.000	-0.005335083	
3468.500	-0.005268555	
3468.000	-0.005203074	
3467.500	-0.005140053	
3467.000	-0.005078668	
3466.500	-0.005018823	
3466.000	-0.004961189	
3465.500	-0.004903857	
3465.000	-0.004842984	
3464.500	-0.004776798	
3464.000	-0.004708393	
3463.500	-0.004643053	
3463.000	-0.004584065	
3462.500	-0.004530867	
3462.000	-0.00448129	
3461.500	-0.004435772	
3461.000	-0.004401181	
3460.500	-0.004384135	
3460.000	-0.004382567	
3459.500	-0.004384078	
3459.000	-0.004379501	
3458.500	-0.004372811	
3458.000	-0.004376283	
3457.500	-0.004397702	
3457.000	-0.00443683	
3456.500	-0.0044888	
3456.000	-0.004544441	
3455.500	-0.004594026	
3455.000	-0.00463402	
3454.500	-0.004664582	
3454.000	-0.004678888	
3453.500	-0.004664265	
3453.000	-0.004620019	
3452.500	-0.004566281	
3452.000	-0.004523072	
3451.500	-0.004489446	
3451.000	-0.004449267	
3450.500	-0.004394991	
3450.000	-0.004331756	
3449.500	-0.004263926	
3449.000	-0.004188633	
3448.500	-0.004108618	
3448.000	-0.004041474	
3447.500	-0.004006719	
3447.000	-0.0040113	
3446.500	-0.004046863	
3446.000	-0.004100631	
3445.500	-0.004165298	
3445.000	-0.004236179	
3444.500	-0.004300383	
3444.000	-0.004340098	
3443.500	-0.004350401	
3443.000	-0.004345332	
3442.500	-0.004339364	
3442.000	-0.004327679	
3441.500	-0.00429419	
3441.000	-0.004232393	
3440.500	-0.004150263	
3440.000	-0.004053104	
3439.500	-0.003938934	
3439.000	-0.003813965	
3438.500	-0.00370351	
3438.000	-0.003633616	
3437.500	-0.003607176	
3437.000	-0.003604194	
3436.500	-0.003605212	
3436.000	-0.003603868	
3435.500	-0.003604398	
3435.000	-0.003609629	
3434.500	-0.003619083	
3434.000	-0.003632364	
3433.500	-0.003648854	
3433.000	-0.003663867	
3432.500	-0.003667231	
3432.000	-0.003649787	
3431.500	-0.003604087	
3431.000	-0.003526958	
3430.500	-0.003421277	
3430.000	-0.003298606	
3429.500	-0.00317744	
3429.000	-0.003073416	
3428.500	-0.002991633	
3428.000	-0.002927062	
3427.500	-0.002871458	
3427.000	-0.002817496	
3426.500	-0.002760209	
3426.000	-0.002697744	
